parameter	test_case	value	test_result	testcase_time
en.datetime.distance_in_words_ago.half_a_minute	should properly pluralize with small follower count	half a minute ago	p	unknown
en.datetime.distance_in_words_ago.half_a_minute	should update the navigation button text and follow status when you follow/unfollow users	half a minute ago	p	unknown
en.datetime.distance_in_words_ago.half_a_minute	should have a functioning de/select all toggle	half a minute ago	p	unknown
en.datetime.distance_in_words_ago.half_a_minute	should render a stepper	half a minute ago	p	unknown
en.datetime.distance_in_words_ago.half_a_minute	should be able to continue to the next step	half a minute ago	p	unknown
en.datetime.distance_in_words_ago.half_a_minute	should render a back button	half a minute ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.one	should have no a11y violations when rendering users	less than a minute ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.one	should render the correct users	less than a minute ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.one	should follow all suggested users by default	less than a minute ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.one	should properly pluralize with small follower count	less than a minute ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.one	should update the navigation button text and follow status when you follow/unfollow users	less than a minute ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.one	should have a functioning de/select all toggle	less than a minute ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.one	should render a stepper	less than a minute ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.one	should be able to continue to the next step	less than a minute ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.one	should render a back button	less than a minute ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.other	should have no a11y violations when rendering users	less than %{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.other	should render the correct users	less than %{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.other	should follow all suggested users by default	less than %{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.other	should properly pluralize with small follower count	less than %{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.other	should update the navigation button text and follow status when you follow/unfollow users	less than %{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.other	should have a functioning de/select all toggle	less than %{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.other	should render a stepper	less than %{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.other	should be able to continue to the next step	less than %{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_minutes.other	should render a back button	less than %{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.one	should have no a11y violations when rendering users	less than 1 second ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.one	should render the correct users	less than 1 second ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.one	should follow all suggested users by default	less than 1 second ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.one	should properly pluralize with small follower count	less than 1 second ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.one	should update the navigation button text and follow status when you follow/unfollow users	less than 1 second ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.one	should have a functioning de/select all toggle	less than 1 second ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.one	should render a stepper	less than 1 second ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.one	should be able to continue to the next step	less than 1 second ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.one	should render a back button	less than 1 second ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.other	should have no a11y violations when rendering users	less than %{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.other	should render the correct users	less than %{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.other	should follow all suggested users by default	less than %{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.other	should properly pluralize with small follower count	less than %{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.other	should update the navigation button text and follow status when you follow/unfollow users	less than %{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.other	should have a functioning de/select all toggle	less than %{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.other	should render a stepper	less than %{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.other	should be able to continue to the next step	less than %{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.less_than_x_seconds.other	should render a back button	less than %{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.one	should have no a11y violations when rendering users	over 1 year ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.one	should render the correct users	over 1 year ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.one	should follow all suggested users by default	over 1 year ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.one	should properly pluralize with small follower count	over 1 year ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.one	should update the navigation button text and follow status when you follow/unfollow users	over 1 year ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.one	should have a functioning de/select all toggle	over 1 year ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.one	should render a stepper	over 1 year ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.one	should be able to continue to the next step	over 1 year ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.one	should render a back button	over 1 year ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.other	should have no a11y violations when rendering users	over %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.other	should render the correct users	over %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.other	should follow all suggested users by default	over %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.other	should properly pluralize with small follower count	over %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.other	should update the navigation button text and follow status when you follow/unfollow users	over %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.other	should have a functioning de/select all toggle	over %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.other	should render a stepper	over %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.other	should be able to continue to the next step	over %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.over_x_years.other	should render a back button	over %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.x_days.one	should have no a11y violations when rendering users	1 day ago	p	unknown
en.datetime.distance_in_words_ago.x_days.one	should render the correct users	1 day ago	p	unknown
en.datetime.distance_in_words_ago.x_days.one	should follow all suggested users by default	1 day ago	p	unknown
en.datetime.distance_in_words_ago.x_days.one	should properly pluralize with small follower count	1 day ago	p	unknown
en.datetime.distance_in_words_ago.x_days.one	should update the navigation button text and follow status when you follow/unfollow users	1 day ago	p	unknown
en.datetime.distance_in_words_ago.x_days.one	should have a functioning de/select all toggle	1 day ago	p	unknown
en.datetime.distance_in_words_ago.x_days.one	should render a stepper	1 day ago	p	unknown
en.datetime.distance_in_words_ago.x_days.one	should be able to continue to the next step	1 day ago	p	unknown
en.datetime.distance_in_words_ago.x_days.one	should render a back button	1 day ago	p	unknown
en.datetime.distance_in_words_ago.x_days.other	should have no a11y violations when rendering users	%{count} days ago	p	unknown
en.datetime.distance_in_words_ago.x_days.other	should render the correct users	%{count} days ago	p	unknown
en.datetime.distance_in_words_ago.x_days.other	should follow all suggested users by default	%{count} days ago	p	unknown
en.datetime.distance_in_words_ago.x_days.other	should properly pluralize with small follower count	%{count} days ago	p	unknown
en.datetime.distance_in_words_ago.x_days.other	should update the navigation button text and follow status when you follow/unfollow users	%{count} days ago	p	unknown
en.datetime.distance_in_words_ago.x_days.other	should have a functioning de/select all toggle	%{count} days ago	p	unknown
en.datetime.distance_in_words_ago.x_days.other	should render a stepper	%{count} days ago	p	unknown
en.datetime.distance_in_words_ago.x_days.other	should be able to continue to the next step	%{count} days ago	p	unknown
en.datetime.distance_in_words_ago.x_days.other	should render a back button	%{count} days ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.one	should have no a11y violations when rendering users	1 minute ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.one	should render the correct users	1 minute ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.one	should follow all suggested users by default	1 minute ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.one	should properly pluralize with small follower count	1 minute ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.one	should update the navigation button text and follow status when you follow/unfollow users	1 minute ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.one	should have a functioning de/select all toggle	1 minute ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.one	should render a stepper	1 minute ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.one	should be able to continue to the next step	1 minute ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.one	should render a back button	1 minute ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.other	should have no a11y violations when rendering users	%{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.other	should render the correct users	%{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.other	should follow all suggested users by default	%{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.other	should properly pluralize with small follower count	%{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.other	should update the navigation button text and follow status when you follow/unfollow users	%{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.other	should have a functioning de/select all toggle	%{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.other	should render a stepper	%{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.other	should be able to continue to the next step	%{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.x_minutes.other	should render a back button	%{count} minutes ago	p	unknown
en.datetime.distance_in_words_ago.x_months.one	should have no a11y violations when rendering users	1 month ago	p	unknown
en.datetime.distance_in_words_ago.x_months.one	should render the correct users	1 month ago	p	unknown
en.datetime.distance_in_words_ago.x_months.one	should follow all suggested users by default	1 month ago	p	unknown
en.datetime.distance_in_words_ago.x_months.one	should properly pluralize with small follower count	1 month ago	p	unknown
en.datetime.distance_in_words_ago.x_months.one	should update the navigation button text and follow status when you follow/unfollow users	1 month ago	p	unknown
en.datetime.distance_in_words_ago.x_months.one	should have a functioning de/select all toggle	1 month ago	p	unknown
en.datetime.distance_in_words_ago.x_months.one	should render a stepper	1 month ago	p	unknown
en.datetime.distance_in_words_ago.x_months.one	should be able to continue to the next step	1 month ago	p	unknown
en.datetime.distance_in_words_ago.x_months.one	should render a back button	1 month ago	p	unknown
en.datetime.distance_in_words_ago.x_months.other	should have no a11y violations when rendering users	%{count} months ago	p	unknown
en.datetime.distance_in_words_ago.x_months.other	should render the correct users	%{count} months ago	p	unknown
en.datetime.distance_in_words_ago.x_months.other	should follow all suggested users by default	%{count} months ago	p	unknown
en.datetime.distance_in_words_ago.x_months.other	should properly pluralize with small follower count	%{count} months ago	p	unknown
en.datetime.distance_in_words_ago.x_months.other	should update the navigation button text and follow status when you follow/unfollow users	%{count} months ago	p	unknown
en.datetime.distance_in_words_ago.x_months.other	should have a functioning de/select all toggle	%{count} months ago	p	unknown
en.datetime.distance_in_words_ago.x_months.other	should render a stepper	%{count} months ago	p	unknown
en.datetime.distance_in_words_ago.x_months.other	should be able to continue to the next step	%{count} months ago	p	unknown
en.datetime.distance_in_words_ago.x_months.other	should render a back button	%{count} months ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.one	should have no a11y violations when rendering users	1 second ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.one	should render the correct users	1 second ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.one	should follow all suggested users by default	1 second ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.one	should properly pluralize with small follower count	1 second ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.one	should update the navigation button text and follow status when you follow/unfollow users	1 second ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.one	should have a functioning de/select all toggle	1 second ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.one	should render a stepper	1 second ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.one	should be able to continue to the next step	1 second ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.one	should render a back button	1 second ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.other	should have no a11y violations when rendering users	%{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.other	should render the correct users	%{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.other	should follow all suggested users by default	%{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.other	should properly pluralize with small follower count	%{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.other	should update the navigation button text and follow status when you follow/unfollow users	%{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.other	should have a functioning de/select all toggle	%{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.other	should render a stepper	%{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.other	should be able to continue to the next step	%{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.x_seconds.other	should render a back button	%{count} seconds ago	p	unknown
en.datetime.distance_in_words_ago.x_years.one	should have no a11y violations when rendering users	1 year ago	p	unknown
en.datetime.distance_in_words_ago.x_years.one	should render the correct users	1 year ago	p	unknown
en.datetime.distance_in_words_ago.x_years.one	should follow all suggested users by default	1 year ago	p	unknown
en.datetime.distance_in_words_ago.x_years.one	should properly pluralize with small follower count	1 year ago	p	unknown
en.datetime.distance_in_words_ago.x_years.one	should update the navigation button text and follow status when you follow/unfollow users	1 year ago	p	unknown
en.datetime.distance_in_words_ago.x_years.one	should have a functioning de/select all toggle	1 year ago	p	unknown
en.datetime.distance_in_words_ago.x_years.one	should render a stepper	1 year ago	p	unknown
en.datetime.distance_in_words_ago.x_years.one	should be able to continue to the next step	1 year ago	p	unknown
en.datetime.distance_in_words_ago.x_years.one	should render a back button	1 year ago	p	unknown
en.datetime.distance_in_words_ago.x_years.other	should have no a11y violations when rendering users	%{count} years ago	p	unknown
